id	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	vernacularName
23156.0	23156.0	23156.0	7724.0	Zapoteca mollis	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Mim.	Zapoteca		mollis		species	
68045.0	68045.0	68045.0	59284.0	Heterodermia urtasuni	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Physciaceae	Heterodermia		urtasuni		species	Liquen.
52563.0	52563.0	52563.0	52587.0	Setophaga caerulescens	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga		caerulescens		species	Reinita azul y negro
22426.0	22426.0	22426.0	7558.0	Dichapetalum morenoi	Plantae	Magnoliophyta	Magnoliopsida	Celastrales	Dichapetalaceae	Dichapetalum		morenoi		species	
21935.0	21935.0	21935.0	7459.0	Ipomoea dumosa	Plantae	Magnoliophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea		dumosa		species	Jalapa
52343.0	52343.0	52343.0	52340.0	Myrmeciza immaculata	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Myrmeciza		immaculata		species	Hormiguero inmaculado
21200.0	21200.0	21200.0	7281.0	Cordia cymosa	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Boraginaceae	Cordia		cymosa		species	
21084.0	21084.0	21084.0	7236.0	Cydista heterophylla	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Bignoniaceae	Cydista		heterophylla		species	
48637.0	48637.0	48637.0	48495.0	Werauhia williamsii	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Werauhia		williamsii		species	Piñuela, epífita, parásita.
53722.0	53722.0	53722.0	53279.0	Phyllobates lugubris	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates		lugubris		species	rana venenosa, sapo venenoso
21049.0	21049.0	21049.0	7225.0	Mahonia volcania	Plantae	Magnoliophyta	Magnoliopsida	Ranunculales	Berberidaceae	Mahonia		volcania		species	
22696.0	22696.0	22696.0	7630.0	Amanoa guianensis	Plantae	Magnoliophyta	Magnoliopsida	Euphorbiales	Euphorbiaceae	Amanoa		guianensis		species	Yerrillo.
52277.0	52277.0	52277.0	52276.0	Selenidera spectabilis	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Selenidera		spectabilis		species	Tucancillo orejiamarillo
52037.0	52037.0	52037.0	52036.0	Eupherusa eximia	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Eupherusa		eximia		species	Gorrión, colibrí, colibrí colirrayado
22244.0	22244.0	22244.0	7527.0	Cyperus panamensis	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Cyperus		panamensis		species	
52709.0	52709.0	52709.0	52710.0	Arremon crassirostris	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Arremon		crassirostris		species	Pinzón barrenquero
53749.0	53749.0	53749.0	53435.0	Chlidonias niger	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chlidonias		niger		species	Fumarel, charrancito negro
22215.0	22215.0	22215.0	7527.0	Cyperus camphoratus	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Cyperus		camphoratus		species	
22608.0	22608.0	22608.0	7604.0	Gaultheria gracilis	Plantae	Magnoliophyta	Magnoliopsida	Ericales	Ericaceae	Gaultheria		gracilis		species	
24621.0	24621.0	24621.0	8150.0	Elaphoglossum macrostandleyi	Plantae	Pteridophyta	Pteropsida	Filicales	Lomariopsidaceae	Elaphoglossum		macrostandleyi		species	
27638.0	27638.0	27638.0	8742.0	Rumex nepalensis	Plantae	Magnoliophyta	Magnoliopsida	Polygonales	Polygonaceae	Rumex		nepalensis		species	
21098.0	21098.0	21098.0	7243.0	Mansoa kerere	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Bignoniaceae	Mansoa		kerere		species	
14358.0	14358.0	14358.0	5040.0	Petrophila argyrolepta	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Petrophila		argyrolepta		species	
28916.0	28916.0	28916.0	9065.0	Solanum roblense	Plantae	Magnoliophyta	Magnoliopsida	Solanales	Solanaceae	Solanum		roblense		species	
22785.0	22785.0	22785.0	7645.0	Euphorbia hoffmanniana	Plantae	Magnoliophyta	Magnoliopsida	Euphorbiales	Euphorbiaceae	Euphorbia		hoffmanniana		species	
53145.0	53145.0	53145.0	53143.0	Leptodeira rubricata	Animalia	Chordata	Reptilia	Squamata	Dipsadidae	Leptodeira		rubricata		species	Coral de manglar, manglera, ojos de gato de manglar</BR> Inglés:Mangrove cat-eye
48813.0	48813.0	48813.0	48448.0	Camillea bilabiata	Fungi	Ascomycota	Pyrenomycetes	Xylariales	Xylariaceae	Camillea		bilabiata		species	
24516.0	24516.0	24516.0	8144.0	Plocosperma buxifolium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Plocosperma		buxifolium		species	
67024.0	67024.0	67024.0	8560.0	Bocconia arborea	Plantae	Magnoliophyta	Magnoliopsida	Papaverales	Papaveraceae	Bocconia		arborea		species	
